FID,DPTO_CCDGO,MPIO_CCDGO,CPOB_CNMBR,CPOB_NANO,CPOB_CSMBL,latitude,longitude,DPNP,DPNP_Dbl,Desplazado,Refugiados,IDPs,TotalImpct
969,08,372,JUAN DE ACOSTA,2012,5,10.829329049500000,-75.034716784500006,08372,8372.000000000000000,76.000000000000000,568.000000000000000,0.000000000000000,644.000000000000000
970,08,558,POLONUEVO,2006,5,10.777441114800000,-74.854127995200002,08558,8558.000000000000000,152.000000000000000,390.000000000000000,0.000000000000000,542.000000000000000
971,08,849,USIACURÍ,2012,"5

",10.742777320500000,-74.976933106299995,08849,8849.000000000000000,31.000000000000000,120.000000000000000,0.000000000000000,151.000000000000000
972,15,022,ALMEIDA,2011,5,4.970528911830000,-73.378678632299994,15022,15022.000000000000000,39.000000000000000,20.000000000000000,0.000000000000000,59.000000000000000
973,15,087,BELÉN,2011,5,5.988336865210000,-72.911254569700006,15087,15087.000000000000000,118.000000000000000,133.000000000000000,0.000000000000000,251.000000000000000
974,15,090,BERBEO,2011,5,5.227152040250000,-73.126864350999995,15090,15090.000000000000000,128.000000000000000,125.000000000000000,0.000000000000000,253.000000000000000
975,15,104,BOYACÁ,2011,5,5.454553832310000,-73.362026827400001,15104,15104.000000000000000,228.000000000000000,67.000000000000000,0.000000000000000,295.000000000000000
976,15,109,BUENAVISTA,2011,5,5.512849458120000,-73.942552163800002,15109,15109.000000000000000,124.000000000000000,104.000000000000000,0.000000000000000,228.000000000000000
977,15,380,LA CAPILLA,2011,5,5.095558669640000,-73.445010628999995,15380,15380.000000000000000,42.000000000000000,11.000000000000000,0.000000000000000,53.000000000000000
978,15,469,MONIQUIRÁ,2011,5,5.876972141780000,-73.573694032199995,15469,15469.000000000000000,267.000000000000000,378.000000000000000,0.000000000000000,645.000000000000000
979,15,476,MOTAVITA,2011,5,5.577542554220000,-73.367658649299997,15476,15476.000000000000000,5.000000000000000,18.000000000000000,0.000000000000000,23.000000000000000
980,15,097,BOAVITA,2011,5,6.330678034780000,-72.584775224400005,15097,15097.000000000000000,110.000000000000000,24.000000000000000,0.000000000000000,134.000000000000000
981,15,621,RONDÓN,2011,5,5.357036038740000,-73.208595205899996,15621,15621.000000000000000,50.000000000000000,46.000000000000000,0.000000000000000,96.000000000000000
982,15,632,SABOYÁ,2011,5,5.698187077080000,-73.764593483200002,15632,15632.000000000000000,48.000000000000000,27.000000000000000,0.000000000000000,75.000000000000000
983,15,686,SANTANA,2011,5,6.057468817140000,-73.482127263400002,15686,15686.000000000000000,142.000000000000000,168.000000000000000,0.000000000000000,310.000000000000000
984,15,600,RÁQUIRA,2011,5,5.538737936140000,-73.632288563800003,15600,15600.000000000000000,4.000000000000000,33.000000000000000,0.000000000000000,37.000000000000000
985,15,723,SATIVASUR,2011,5,6.093489231960000,-72.712181711699998,15723,15723.000000000000000,21.000000000000000,11.000000000000000,0.000000000000000,32.000000000000000
986,15,763,SOTAQUIRÁ,2011,5,5.765166351720000,-73.247226179500004,15763,15763.000000000000000,19.000000000000000,54.000000000000000,0.000000000000000,73.000000000000000
987,15,806,TIBASOSA,2011,5,5.747154143200000,-72.999646496599993,15806,15806.000000000000000,8.000000000000000,219.000000000000000,0.000000000000000,227.000000000000000
988,15,816,TOGÜÍ,2011,5,5.937545769770000,-73.513571916199993,15816,15816.000000000000000,66.000000000000000,74.000000000000000,0.000000000000000,140.000000000000000
989,15,693,SANTA ROSA DE VITERBO,2011,5,5.874738604130000,-72.982386359399996,15693,15693.000000000000000,44.000000000000000,217.000000000000000,0.000000000000000,261.000000000000000
990,15,740,SIACHOQUE,2011,5,5.511019000950000,-73.245188593999998,15740,15740.000000000000000,11.000000000000000,13.000000000000000,0.000000000000000,24.000000000000000
991,15,764,SORACÁ,2011,5,5.501084316860000,-73.332815495299997,15764,15764.000000000000000,11.000000000000000,36.000000000000000,0.000000000000000,47.000000000000000
