,ID,NAME,LATITUDE,LONGITUDE,DISPLACED,REFUGEES,IDPS,TOTAL_IMPACT,POPULATION
55,47551,PIVIJAY,10.4613440094,-74.6153957047,38692.0,4707.0,9344.0,54086.0,34372.0
56,05147,CAREPA,7.75511703075,-76.6540510758,16641.0,30688.0,6420.0,53811.0,45300.0
57,23855,VALENCIA,8.25726617383,-76.1499090095,24250.0,10862.0,17771.0,53795.0,30532.0
58,47980,PRADO - SEVILLA,10.7638951541,-74.139232543,36556.0,8231.0,7317.0,53473.0,66802.0
59,86001,MOCOA,1.15151944879,-76.6508743095,9277.0,39886.0,2100.0,53408.0,47837.0
60,18150,CARTAGENA DEL CHAIRÁ,1.33434675057,-74.844619613,36171.0,2433.0,12506.0,51804.0,27267.0
61,05361,ITUANGO,7.17162301036,-75.76416656,29537.0,963.0,20406.0,51024.0,18443.0
62,76834,TULUÁ,4.08535846449,-76.1971756039,12973.0,19602.0,16097.0,50751.0,185762.0
63,05847,URRAO,6.31400117613,-76.132240466,25019.0,5464.0,18807.0,49518.0,28860.0
64,50711,VISTAHERMOSA,3.12771711129,-73.7512790116,34933.0,1594.0,11553.0,49507.0,16249.0
65,05234,DABEIBA,7.00003402647,-76.2629740973,30171.0,3117.0,14688.0,48058.0,22678.0
66,81001,ARAUCA,7.07799540519,-70.7618882372,12333.0,23703.0,9417.0,47546.0,74637.0
67,41551,PITALITO,1.85305558984,-76.0492634224,9686.0,35675.0,766.0,47382.0,118991.0
68,05665,SAN PEDRO DE URABÁ,8.27806430726,-76.3825621282,23070.0,13685.0,9505.0,46452.0,30064.0
69,20011,AGUACHICA,8.31012096837,-73.601300449,15277.0,22426.0,5807.0,44316.0,95548.0
70,19256,EL TAMBO,2.4522358115,-76.8108123081,35067.0,2731.0,5230.0,43768.0,38509.0
71,05649,SAN CARLOS,6.18797640745,-74.9930024004,30330.0,1791.0,10843.0,43142.0,14373.0
72,13654,SAN JACINTO,9.83065775252,-75.1217447992,19405.0,3039.0,20220.0,43022.0,23551.0
73,27099,BELLAVISTA,6.56900387061,-76.8950894319,31514.0,380.0,9669.0,42724.0,11930.0
74,13442,MARÍA LA BAJA,9.98513343921,-75.3032014542,19800.0,4323.0,17873.0,42332.0,45321.0
75,05051,ARBOLETES,8.85060188204,-76.426683425,25262.0,10716.0,5610.0,41614.0,26279.0
76,86320,ORITO,0.676020477276,-76.880209856,25484.0,6774.0,6882.0,41289.0,32644.0
77,05313,GRANADA,6.1413743323,-75.1879726737,30462.0,1208.0,9344.0,41118.0,9203.0
78,44090,DIBULLA,11.2712541239,-73.3072366876,23018.0,8217.0,8564.0,41086.0,35599.0
79,86571,PUERTO GUZMÁN,0.963535947743,-76.408021749,33922.0,1830.0,2823.0,40730.0,16820.0
